ACAT1	ALDH6A1
ACAT1	BCKDHA
ACAT1	BCKDHB
ACAT1	CPT2
ACAT1	CRLS1
ACAT1	CS
ACAT1	DBT
ACAT1	DLAT
ACAT1	DLD
ACAT1	DLST
ACAT1	EHHADH
ACAT1	GLYAT
ACAT1	GLYATL1
ACAT1	GLYATL2
ACAT1	HADH
ACAT1	HADHA
ACAT1	HADHB
ACAT1	HIBCH
ACAT1	HMGCL
ACAT1	HMGCS1
ACAT1	HMGCS2
ACAT1	HSD17B10
ACAT1	MLYCD
ACAT1	NAGS
ACAT1	OGDH
ACAT1	OXCT1
ACAT1	OXCT2
ACAT1	PCCA
ACAT1	PCCB
ACAT1	PDHA1
ACAT1	PDHB
ACAT1	PDHX
ACAT1	SLC25A16
ACAT1	SUCLA2
ACAT1	SUCLG1
ACAT1	SUCLG2
ACAT2	ACOT12
ACAT2	ACOX1
ACAT2	ACOX3
ACAT2	ACSS1
ACAT2	ACSS2
ACAT2	ALDH6A1
ACAT2	CS
ACAT2	DLAT
ACAT2	EHHADH
ACAT2	HADH
ACAT2	HADHA
ACAT2	HADHB
ACAT2	HMGCL
ACAT2	HMGCS1
ACAT2	HMGCS2
ACAT2	MLYCD
ACAT2	OXCT1
ACAT2	OXCT2
ACD	H2AFB1
ACD	H2AFX
ACD	H2AFZ
ACD	HIST1H2AB
ACD	HIST1H2AC
ACD	HIST1H2AD
ACD	HIST1H2AE
ACD	HIST1H2AJ
ACD	HIST1H2BA
ACD	HIST1H2BB
ACD	HIST1H2BC
ACD	HIST1H2BD
ACD	HIST1H2BE
ACD	HIST1H2BF
ACD	HIST1H2BG
ACD	HIST1H2BH
ACD	HIST1H2BI
ACD	HIST1H2BJ
ACD	HIST1H2BK
ACD	HIST1H2BL
ACD	HIST1H2BM
ACD	HIST1H2BN
ACD	HIST1H2BO
ACD	HIST1H4A
ACD	HIST1H4B
ACD	HIST1H4C
ACD	HIST1H4D
ACD	HIST1H4E
ACD	HIST1H4F
ACD	HIST1H4H
ACD	HIST1H4I
ACD	HIST1H4J
ACD	HIST1H4K
ACD	HIST1H4L
ACD	HIST2H2AA3
ACD	HIST2H2AA4
ACD	HIST2H2AC
ACD	HIST2H2BE
ACD	HIST2H4A
ACD	HIST2H4B
ACD	HIST3H2BB
ACD	HIST3H3
ACD	HIST4H4
ACD	LMNA
ACD	LMNB1
ACD	POT1
ACD	RAD21
ACD	REC8
