Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
UBR5,10,-1.181,0.090470428,-0.318,0.5401710957,-0.072,0.8941113736,1.039,8.91E-05
UBR7,9,0.097,0.8560877546,-0.163,0.2508216701,0.195,0.7012109786,-0.344,0.7370232779
UBTD1,10,0.096,0.4998176976,-0.185,0.9014471703,-0.051,0.6764019619,-0.097,0.9563148181
UBTD2,9,0.310,0.2405202923,0.281,0.4339416581,0.488,0.0785748184,0.423,0.3988626272
UBTF,10,-1.351,0.0045681027,-1.835,0.2516827345,-1.219,0.0107121264,-0.872,0.0771908794
UBXN1,8,-0.855,0.49497828,-1.332,0.3272702677,-0.501,0.2804976131,-0.428,0.7647244
UBXN10,7,-0.029,0.6405647651,-0.403,0.9105520628,0.219,0.5423368906,0.140,0.5997861145
UBXN11,9,0.309,0.1113710989,0.018,0.6198037088,0.232,0.848837927,0.050,0.9537697259
UBXN2A,10,0.240,0.3484646153,0.317,0.2351629908,0.331,0.1635409532,0.369,0.2514687354
UBXN2B,10,-0.222,0.9599905423,0.116,0.5280508922,0.155,0.8649842187,-0.084,0.6974682047
UBXN4,10,-0.194,0.9031506599,0.044,0.5796210093,0.362,0.6185460025,0.100,0.7113327151
UBXN6,8,-0.190,0.7059643981,-0.284,0.6533023936,0.083,0.882791813,0.064,0.8159757758
UBXN7,10,0.098,0.7656280656,0.009,0.6539580092,0.096,0.7404107379,0.039,0.8973051847
UCHL1,9,-0.141,0.7668099928,-0.140,0.2351958037,-0.370,0.9406419078,-0.051,0.9825415128
UCHL3,10,-0.021,0.8808038926,0.628,0.0648954173,-0.150,0.6913732669,0.029,0.7975579711
UCHL5,10,-0.848,0.316962148,-0.083,0.6994049042,-0.080,0.6488624323,-0.120,0.7071324912
UCK1,9,-0.006,0.9683225102,-0.214,0.9248886495,0.228,0.6083475465,-0.190,0.6787816659
UCK2,9,-0.463,0.7453949435,0.071,0.6175120304,-0.042,0.9909719195,-0.204,0.8452153635
UCKL1,10,0.010,0.8249120955,-0.157,0.9856704712,0.003,0.9375950847,0.238,0.5182146808
UCMA,9,0.108,0.4854980617,0.093,0.6088240288,0.348,0.4201128503,0.032,0.5616074443
UCN,8,-0.546,0.8830828631,-0.969,0.8500085553,-0.395,0.9480565725,-0.396,0.8858862205
UCN2,10,0.008,0.8278194347,-0.672,0.8975781641,0.185,0.4712209287,0.106,0.7721501747
UCN3,10,0.426,0.0519028096,0.387,0.1605610531,0.045,0.7731142925,0.125,0.320172831
UCP1,8,0.319,0.1851744354,0.297,0.1425698109,0.290,0.1233050865,0.202,0.6665066757
UCP2,9,0.072,0.787717526,-0.209,0.9527048424,-0.084,0.9712310508,0.047,0.9634319159
UCP3,10,0.033,0.5884220378,-0.079,0.8942570543,0.015,0.8570909834,0.254,0.2644254681
UEVLD,7,-0.039,0.8506295593,-0.036,0.533889982,-0.135,0.9984412016,-0.413,0.6611878036
UFC1,10,-0.427,0.5433341048,-1.091,0.0375779977,0.016,0.9334155853,-0.756,0.0862298
UFD1L,9,-1.202,0.0437081191,-2.520,0.0645117402,-2.185,0.0055344546,-1.811,0.0437014975
UFL1,10,-0.171,0.1798696823,-0.420,0.5407074686,0.194,0.546108009,-0.126,0.5878928735
UFM1,9,0.205,0.5549228808,-0.158,0.8076668194,0.140,0.8557129821,0.063,0.9628965907
UFSP1,10,-0.061,0.9479697429,-0.231,0.9450427091,0.084,0.8233408797,-0.200,0.980402762
UFSP2,10,-0.136,0.5645040198,-0.717,0.1353017714,0.087,0.7904175501,-0.291,0.6050746193
UGCG,9,-0.243,0.9251074068,0.163,0.4374493348,-0.080,0.8895716033,0.364,0.4130711846
UGDH,9,-0.107,0.9668121923,0.286,0.0849098407,-0.109,0.5862169592,0.158,0.7647244
UGGT1,9,0.166,0.3211775487,-0.156,0.9500920791,0.289,0.4027313133,0.242,0.608933267
UGGT2,10,0.012,0.6068707562,0.417,0.1552044882,-0.253,0.6350587504,0.144,0.7383097713
UGP2,10,-0.952,0.1808434733,-0.221,0.8992956121,-0.550,0.2204488741,-0.072,0.9561966267
UGT1A1,10,0.159,0.3953519221,-0.131,0.931549979,0.036,0.7594688519,-0.038,0.9511521115
UGT1A10,10,0.239,0.1879602603,0.333,0.0729166701,0.109,0.4730868703,0.151,0.4149880289
UGT1A3,10,-0.007,0.5192149347,-0.389,0.922344426,0.114,0.9567979895,-0.082,0.9924955874
UGT1A4,10,0.197,0.3367193744,-0.005,0.7874474897,-0.111,0.9309603457,0.218,0.4149880289
UGT1A5,9,-0.057,0.6850665104,-0.023,0.7881296569,0.082,0.6695393559,-0.036,0.7483115351
UGT1A6,10,0.083,0.2946991647,0.151,0.2481451284,0.083,0.686956419,0.024,0.7940889483
UGT1A7,10,-0.032,0.8558172308,0.052,0.7719593994,0.048,0.7004713799,0.250,0.1778412255
UGT1A8,10,0.070,0.6300523252,-0.001,0.2947134156,0.038,0.7209311022,-0.061,0.9733541399
UGT1A9,10,-0.054,0.8819556451,-0.005,0.7874474897,0.040,0.9069386187,-0.009,0.9111507253
UGT2A1,10,0.116,0.3456387153,0.583,0.0888930072,0.099,0.7635377332,0.342,0.2421423382
UGT2A2,10,0.102,0.6410491542,0.608,0.004233524,0.222,0.3942526051,0.311,0.1946872143
UGT2A3,9,0.348,0.3068396122,0.808,0.007978654,0.064,0.7279440542,0.267,0.4864748071
UGT2B11,9,-0.392,0.5794705616,-0.049,0.8472796438,0.148,0.8844108877,0.196,0.7358467108
UGT2B15,10,-0.026,0.4619897973,-0.237,0.6840573695,0.056,0.8084442967,-0.050,0.9653051621
UGT2B17,10,0.259,0.009287923,0.302,0.1749288833,-0.072,0.9987868647,0.527,0.0203137964
UGT2B28,10,-0.068,0.8147459181,0.648,0.0117338148,0.045,0.6216048064,0.348,0.3163515295
UGT2B4,10,0.083,0.488526042,0.302,0.4029113149,0.159,0.854715897,0.154,0.3379987689
UGT2B7,10,0.350,0.0444647867,0.651,0.0413519501,0.483,0.0344979955,0.266,0.5745686814
UGT3A1,10,0.260,0.1619607738,0.353,0.2117041396,0.073,0.879986241,0.354,0.0899467395
UGT3A2,10,0.068,0.5884220378,-0.040,0.867499071,0.377,0.1285648022,0.400,0.0386598261
UGT8,8,0.311,0.1168411457,0.270,0.6388368919,0.015,0.9824053416,0.075,0.8538153497
UHMK1,10,0.046,0.5419850677,0.303,0.2339079671,-0.200,0.8914509132,0.106,0.7482097339
UHRF1BP1,9,-0.157,0.996185469,-0.897,0.7418503979,0.126,0.73426928,-0.076,0.9389353303
UHRF1BP1L,10,0.002,0.6165863987,0.202,0.1576711881,-0.088,0.9392170671,0.057,0.8722176934
UHRF2,9,0.169,0.3445082431,0.542,0.1353017714,-0.098,0.8645877827,0.161,0.8367227888
UIMC1,10,-0.744,0.1549002129,-1.415,0.5467555645,-0.385,0.8374331934,-0.328,0.8460954962
ULBP1,9,0.121,0.2078587152,0.013,0.5630086418,0.391,0.1851149325,-0.221,0.9510087036
ULBP2,10,-0.123,0.7113144306,0.103,0.730369696,-0.150,0.8540162493,-0.045,0.8603370435
ULBP3,10,-0.098,0.8819556451,-0.108,0.8641535132,0.040,0.8878166614,-0.073,0.6640638449
ULK1,10,-0.281,0.5197444008,-0.630,0.5466021232,0.337,0.1715680341,0.626,0.0061251328
ULK2,10,0.241,0.3060798931,0.005,0.2843319468,-0.091,0.9805382212,0.235,0.4669516707
ULK3,10,-0.687,0.1137510096,-0.119,0.5865209559,-0.275,0.3170129343,-0.032,0.8119534662
ULK4,9,0.264,0.2039514656,-0.091,0.7612860885,0.290,0.3324490241,0.183,0.4887473817
UMOD,10,0.165,0.4516117179,0.039,0.8747749094,-0.065,0.9489964777,0.053,0.7324132707
UMODL1,10,0.040,0.7187458683,0.265,0.3619725152,-0.231,0.7492359638,0.151,0.6852123792
UMPS,10,-3.678,1.86E-05,-4.691,2.69E-05,-2.322,5.80E-05,-0.565,0.0292990004
UNC119,9,-0.315,0.6449646738,-0.089,0.9147089262,-0.047,0.9494395502,-0.363,0.4503039946
UNC119B,8,-0.798,0.6575047264,-1.370,0.6200353836,-0.651,0.6734121591,-0.191,0.944281694
UNC13A,9,-0.955,0.5679127562,-1.079,0.4468049166,-0.883,0.3031793775,-0.486,0.9865671483
UNC13B,10,-0.190,0.9635104821,-0.326,0.9181510516,-0.216,0.8997853759,-0.439,0.8852295148
UNC13C,8,0.092,0.4427102555,0.614,0.0835941331,0.218,0.5827321056,0.070,0.827624721
UNC13D,10,-1.100,0.089811262,-1.367,0.3402599858,-0.358,0.8228148237,-0.810,0.3961910406
